Sat;Dan;Mjesec;Godina;Potrosnja;Temperatura
2;26;1;2011;180.25;-0.8
3;26;1;2011;176.25;-1.2
4;26;1;2011;174.75;-1.2
5;26;1;2011;185.25;-1.1
6;26;1;2011;227.0;-1.1
7;26;1;2011;265.25;-1.1
8;26;1;2011;343.0;-0.3
9;26;1;2011;411.0;1.7
10;26;1;2011;444.5;3.7
11;26;1;2011;455.75;5.8
12;26;1;2011;437.5;7.5
13;26;1;2011;439.5;7.5
14;26;1;2011;446.25;7.0
15;26;1;2011;428.25;6.7
16;26;1;2011;383.0;6.4
17;26;1;2011;350.0;3.2
18;26;1;2011;323.0;2.0
19;26;1;2011;279.25;1.5
20;26;1;2011;247.75;1.4
21;26;1;2011;210.25;1.4
22;26;1;2011;190.0;0.7
23;26;1;2011;186.75;0.7
0;27;1;2011;179.5;1.0
1;27;1;2011;174.75;1.2
2;27;1;2011;170.75;1.5
3;27;1;2011;169.75;1.1
4;27;1;2011;169.5;0.8
5;27;1;2011;180.5;1.0
6;27;1;2011;234.0;1.6
7;27;1;2011;278.75;1.7
8;27;1;2011;354.5;2.5
9;27;1;2011;416.25;2.6
10;27;1;2011;424.75;2.8
11;27;1;2011;440.5;2.9
12;27;1;2011;453.0;2.9
13;27;1;2011;456.75;2.5
14;27;1;2011;433.5;2.1
15;27;1;2011;415.0;1.9
16;27;1;2011;346.5;1.8
17;27;1;2011;315.75;1.1
18;27;1;2011;307.25;0.9
19;27;1;2011;268.0;0.9
20;27;1;2011;241.25;0.9
21;27;1;2011;220.25;0.7
22;27;1;2011;193.5;0.2
23;27;1;2011;186.25;0.0
0;28;1;2011;185.75;0.0
1;28;1;2011;174.75;-0.1
2;28;1;2011;172.75;0.0
3;28;1;2011;175.0;-0.1
4;28;1;2011;172.25;-0.5
5;28;1;2011;186.5;-0.9
6;28;1;2011;236.75;-0.9
7;28;1;2011;283.5;-1.0
8;28;1;2011;361.75;-0.9
9;28;1;2011;457.5;-1.4
10;28;1;2011;469.75;-1.8
11;28;1;2011;483.75;-1.3
12;28;1;2011;482.5;-0.8
13;28;1;2011;470.75;-0.4
14;28;1;2011;457.75;0.0
15;28;1;2011;445.25;0.1
16;28;1;2011;380.25;-0.2
17;28;1;2011;343.75;-0.6
18;28;1;2011;293.25;-0.5
19;28;1;2011;242.5;-0.3
20;28;1;2011;225.75;-0.6
21;28;1;2011;212.5;-0.1
22;28;1;2011;190.5;-0.1
23;28;1;2011;188.25;-0.1
0;29;1;2011;188.0;-0.6
1;29;1;2011;183.5;-1.0
2;29;1;2011;177.0;-1.2
3;29;1;2011;177.5;-2.0
4;29;1;2011;174.5;-2.1
5;29;1;2011;171.25;-2.5
6;29;1;2011;185.25;-2.8
7;29;1;2011;188.75;-3.1
8;29;1;2011;182.5;-2.2
9;29;1;2011;184.25;-1.7
10;29;1;2011;185.75;-1.4
11;29;1;2011;188.75;-1.2
12;29;1;2011;189.75;-0.7
13;29;1;2011;188.75;0.1
14;29;1;2011;185.0;0.0
15;29;1;2011;192.75;-0.1
16;29;1;2011;191.5;-0.1
17;29;1;2011;197.0;-0.2
18;29;1;2011;192.5;-0.2
19;29;1;2011;190.0;-0.4
20;29;1;2011;187.25;-0.5
21;29;1;2011;185.0;-0.7
22;29;1;2011;186.5;-1.0
23;29;1;2011;181.75;-1.1
0;30;1;2011;182.75;-1.2
1;30;1;2011;177.75;-1.2
2;30;1;2011;174.25;-1.2
3;30;1;2011;170.75;-1.4
4;30;1;2011;169.0;-1.5
5;30;1;2011;167.75;-1.8
6;30;1;2011;172.5;-1.9
7;30;1;2011;171.0;-2.0
8;30;1;2011;168.25;-1.3
9;30;1;2011;169.75;-1.1
10;30;1;2011;168.25;-0.9
11;30;1;2011;170.75;-0.2
12;30;1;2011;174.0;-0.1
13;30;1;2011;177.0;0.0
14;30;1;2011;182.75;0.0
15;30;1;2011;190.75;-0.1
16;30;1;2011;187.0;-0.2
17;30;1;2011;188.75;-0.3
18;30;1;2011;186.0;-0.5
19;30;1;2011;182.5;-0.8
20;30;1;2011;180.75;-0.8
21;30;1;2011;179.25;-0.9
22;30;1;2011;176.0;-1.1
23;30;1;2011;170.5;-1.2
0;31;1;2011;167.0;-1.0
1;31;1;2011;167.75;-1.0
2;31;1;2011;166.75;-1.1
3;31;1;2011;165.0;-1.0
4;31;1;2011;165.0;-1.2
5;31;1;2011;171.5;-1.4
6;31;1;2011;230.75;-1.4
7;31;1;2011;277.5;-1.4
8;31;1;2011;349.25;-1.4
9;31;1;2011;398.75;-1.4
10;31;1;2011;423.25;-1.1
11;31;1;2011;426.5;-0.8
12;31;1;2011;444.25;-0.7
13;31;1;2011;457.25;-0.5
14;31;1;2011;437.25;-0.4
15;31;1;2011;414.5;-0.5
16;31;1;2011;354.5;-0.9
17;31;1;2011;313.25;-1.2
18;31;1;2011;295.5;-1.2
19;31;1;2011;257.5;-1.4
20;31;1;2011;242.75;-1.7
21;31;1;2011;236.0;-1.9
22;31;1;2011;215.25;-1.9
23;31;1;2011;205.25;-2.0
