Sat;Praznik;Mjesec;Temperatura;ProsjekU24h;Potrosnja
12;1;1;7.6;167.59375;162.5
13;1;1;9.1;166.083333333;163.0
14;1;1;9.9;164.895833333;161.5
15;1;1;8.9;164.40625;162.5
16;1;1;7.3;164.260416667;164.0
17;1;1;5.0;163.84375;175.75
18;1;1;3.9;163.291666667;180.75
19;1;1;2.9;163.020833333;179.75
20;1;1;2.8;162.90625;176.0
21;1;1;2.0;162.822916667;168.75
22;1;1;1.9;162.708333333;163.0
23;1;1;0.9;162.625;160.5
0;0;1;0.7;162.552083333;159.5
1;0;1;0.6;162.53125;158.75
2;0;1;0.0;162.458333333;155.75
3;0;1;-0.2;162.25;155.0
4;0;1;-0.8;162.0625;153.75
5;0;1;-1.3;161.90625;157.75
6;0;1;-1.6;161.9375;228.25
7;0;1;-1.2;164.854166667;291.5
8;0;1;-0.3;170.5625;367.75
9;0;1;0.6;179.625;426.25
10;0;1;1.6;191.041666667;462.25
11;0;1;3.6;203.854166667;463.25
12;0;1;6.4;216.572916667;457.0
13;0;1;9.4;228.84375;454.75
14;0;1;10.5;241.0;450.0
15;0;1;10.2;253.020833333;431.25
16;0;1;7.1;264.21875;388.0
17;0;1;4.5;273.552083333;357.5
18;0;1;4.3;281.125;320.75
19;0;1;3.4;286.958333333;256.5
20;0;1;3.3;290.15625;229.25
21;0;1;3.2;292.375;210.0
22;0;1;3.1;294.09375;192.5
23;0;1;2.1;295.322916667;182.5
0;0;1;1.1;296.239583333;180.25
1;0;1;0.6;297.104166667;177.25
2;0;1;0.1;297.875;178.0
3;0;1;0.0;298.802083333;174.0
4;0;1;-0.8;299.59375;171.25
5;0;1;-0.3;300.322916667;178.75
6;0;1;-1.1;301.197916667;244.5
7;0;1;-0.6;301.875;286.5
8;0;1;0.1;301.666666667;351.0
9;0;1;1.3;300.96875;422.0
10;0;1;0.6;300.791666667;445.25
11;0;1;1.5;300.083333333;445.75
12;0;1;2.7;299.354166667;427.5
13;0;1;4.8;298.125;421.0
14;0;1;4.8;296.71875;399.0
15;0;1;3.5;294.59375;386.75
16;0;1;2.5;292.739583333;362.75
17;0;1;1.6;291.6875;334.25
18;0;1;1.4;290.71875;311.25
19;0;1;0.4;290.322916667;257.0
20;0;1;-0.6;290.34375;232.25
21;0;1;-0.8;290.46875;210.5
22;0;1;-0.8;290.489583333;191.25
23;0;1;-0.8;290.4375;180.25
0;0;1;-0.8;290.34375;178.75
1;0;1;-0.8;290.28125;174.75
2;0;1;-1.3;290.177083333;173.0
3;0;1;-2.0;289.96875;171.75
4;0;1;-1.2;289.875;168.5
5;0;1;-1.4;289.760416667;171.5
6;0;1;-2.2;289.458333333;237.0
7;0;1;-2.2;289.145833333;275.0
8;0;1;-2.0;288.666666667;354.0
9;0;1;-0.4;288.791666667;423.0
10;0;1;0.6;288.833333333;443.0
11;0;1;2.0;288.739583333;452.75
12;0;1;2.1;289.03125;464.25
13;0;1;2.2;290.5625;445.25
14;0;1;2.3;291.572916667;450.0
15;0;1;3.0;293.697916667;464.25
16;0;1;3.0;296.927083333;422.0
17;0;1;3.1;299.395833333;368.0
18;0;1;3.1;300.802083333;341.25
19;0;1;3.2;302.052083333;283.75
20;0;1;3.5;303.166666667;230.5
21;0;1;3.2;303.09375;202.5
22;0;1;3.0;302.760416667;193.75
23;0;1;3.1;302.864583333;188.25
0;0;1;3.1;303.197916667;183.0
1;0;1;3.1;303.375;174.25
2;0;1;3.0;303.354166667;172.0
3;0;1;2.2;303.3125;170.5
4;0;1;2.5;303.260416667;170.75
5;0;1;3.1;303.354166667;179.5
6;0;1;3.1;303.6875;249.5
7;0;1;3.1;304.208333333;280.0
8;0;1;3.5;304.416666667;367.25
9;0;1;4.0;304.96875;426.25
10;0;1;4.3;305.104166667;436.0
11;0;1;4.6;304.8125;448.25
12;0;1;4.5;304.625;473.0
13;0;1;4.1;304.989583333;448.25
14;0;1;3.9;305.114583333;450.0
15;0;1;3.8;305.114583333;471.25
16;0;1;3.7;305.40625;425.5
17;0;1;3.7;305.552083333;390.0
