Sat;DanUTjednu;Mjesec;Temperatura;Potrosnja
11;3;1;2.0;452.75
12;3;1;2.1;464.25
13;3;1;2.2;445.25
14;3;1;2.3;450.0
15;3;1;3.0;464.25
16;3;1;3.0;422.0
17;3;1;3.1;368.0
18;3;1;3.1;341.25
19;3;1;3.2;283.75
20;3;1;3.5;230.5
21;3;1;3.2;202.5
22;3;1;3.0;193.75
23;3;1;3.1;188.25
0;4;1;3.1;183.0
1;4;1;3.1;174.25
2;4;1;3.0;172.0
3;4;1;2.2;170.5
4;4;1;2.5;170.75
5;4;1;3.1;179.5
6;4;1;3.1;249.5
7;4;1;3.1;280.0
8;4;1;3.5;367.25
9;4;1;4.0;426.25
10;4;1;4.3;436.0
11;4;1;4.6;448.25
12;4;1;4.5;473.0
13;4;1;4.1;448.25
14;4;1;3.9;450.0
15;4;1;3.8;471.25
16;4;1;3.7;425.5
17;4;1;3.7;390.0
18;4;1;3.7;325.75
19;4;1;3.5;264.25
20;4;1;3.1;235.25
21;4;1;2.8;207.5
22;4;1;2.8;184.5
23;4;1;2.6;177.0
0;5;1;2.5;175.5
1;5;1;2.1;173.0
2;5;1;1.8;169.5
3;5;1;1.6;171.5
4;5;1;1.5;169.25
5;5;1;1.3;179.75
6;5;1;1.3;243.0
7;5;1;1.3;285.5
8;5;1;1.3;385.0
9;5;1;1.4;462.25
10;5;1;1.3;474.25
11;5;1;2.4;500.75
12;5;1;2.7;490.25
13;5;1;2.8;477.25
14;5;1;2.8;461.0
15;5;1;2.5;449.5
16;5;1;2.2;412.75
17;5;1;1.7;340.5
18;5;1;1.6;288.0
19;5;1;1.3;242.25
20;5;1;1.2;212.75
21;5;1;0.8;192.25
22;5;1;0.7;176.5
23;5;1;0.7;175.5
0;6;1;0.6;175.0
1;6;1;0.5;172.75
2;6;1;-0.1;171.0
3;6;1;-0.3;168.5
4;6;1;-0.3;168.25
5;6;1;-0.3;166.0
6;6;1;-0.3;181.25
7;6;1;-0.4;178.25
8;6;1;-0.2;187.0
9;6;1;-0.2;200.0
10;6;1;-0.1;199.5
11;6;1;0.3;204.5
12;6;1;0.8;213.0
13;6;1;0.9;208.0
14;6;1;0.8;203.5
15;6;1;0.6;205.5
16;6;1;0.1;205.5
17;6;1;-0.3;206.0
18;6;1;-0.5;205.25
19;6;1;-0.6;196.75
20;6;1;-0.8;192.5
21;6;1;-0.7;184.75
22;6;1;-0.7;181.75
23;6;1;-0.7;174.75
0;7;1;-1.1;175.25
1;7;1;-1.6;177.5
2;7;1;-1.7;176.25
3;7;1;-2.3;175.75
4;7;1;-2.5;171.75
5;7;1;-2.7;168.0
6;7;1;-3.2;177.0
7;7;1;-3.5;171.25
8;7;1;-2.7;170.75
9;7;1;-1.6;169.0
10;7;1;-0.6;170.75
11;7;1;0.3;172.0
12;7;1;1.2;176.25
13;7;1;1.5;185.75
14;7;1;1.4;184.25
15;7;1;1.4;183.0
16;7;1;0.2;185.25
17;7;1;0.4;200.75
18;7;1;0.6;206.25
19;7;1;0.6;201.75
20;7;1;-0.4;190.0
21;7;1;-1.1;184.0
22;7;1;-2.0;168.5
23;7;1;-2.3;167.5
0;1;1;-2.5;169.0
1;1;1;-3.2;164.5
2;1;1;-3.2;163.25
3;1;1;-3.2;163.5
4;1;1;-3.2;163.5
5;1;1;-3.9;176.25
6;1;1;-4.3;238.25
7;1;1;-4.1;290.25
8;1;1;-2.4;368.0
9;1;1;-1.8;428.0
10;1;1;-1.2;448.75
11;1;1;-0.3;450.0
12;1;1;1.1;461.5
13;1;1;2.5;439.25
14;1;1;1.8;418.25
15;1;1;1.6;388.75
16;1;1;0.4;356.5
17;1;1;-1.1;335.5
18;1;1;-2.1;320.75
19;1;1;-2.3;290.0
20;1;1;-2.8;255.75
21;1;1;-2.1;211.5
22;1;1;-1.9;192.5
23;1;1;-1.8;180.75
0;2;1;-2.1;178.0
1;2;1;-3.6;173.0
2;2;1;-4.6;170.5
3;2;1;-5.1;171.0
4;2;1;-5.6;170.5
5;2;1;-5.1;172.0
6;2;1;-3.0;228.0
7;2;1;-3.0;275.75
8;2;1;-2.2;354.25
9;2;1;-1.8;414.25
10;2;1;-1.2;449.0
11;2;1;-0.2;451.5
12;2;1;0.2;433.5
13;2;1;0.8;421.75
14;2;1;1.0;429.0
15;2;1;0.9;406.5
16;2;1;0.8;361.5
17;2;1;0.5;338.5
18;2;1;-0.3;322.5
19;2;1;-0.4;296.0
20;2;1;-0.7;246.5
21;2;1;-1.0;213.0
22;2;1;-0.4;201.25
